127.0.0.1 - - [25/Oct/2023:14:43:33 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/ HTTP/1.1" 200 8731
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/css/font-awesome.min.css HTTP/1.1" 200 97255
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/css/bootstrap.min.css HTTP/1.1" 200 121429
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/css/jquery.fancybox.css HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/css/bootstrap-datetimepicker.css HTTP/1.1" 200 4448
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/css/error.css HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/css/jquery-ui.css HTTP/1.1" 200 29583
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/css/daterangepicker.css HTTP/1.1" 200 8146
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/css/mdtimepicker.css HTTP/1.1" 200 19445
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/css/select2.min.css HTTP/1.1" 200 15946
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/css/responsive.css HTTP/1.1" 200 30945
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/css/theme.css HTTP/1.1" 200 329860
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/css/buttons.dataTables.min.css HTTP/1.1" 200 10229
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/css/jquery.dataTables.css HTTP/1.1" 200 16068
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/css/responsive.dataTables.min.css HTTP/1.1" 200 4238
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/bootstrap.min.js HTTP/1.1" 200 39680
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/jquery.fancybox.js HTTP/1.1" 200 45961
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/jquery-1.12.4.min.js HTTP/1.1" 200 150411
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/bootstrap-datetimepicker.js HTTP/1.1" 200 41094
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/nicEdit.js HTTP/1.1" 200 49575
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/globalscript.js HTTP/1.1" 200 20661
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/jquery-ui.js HTTP/1.1" 200 321587
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/select2.min.js HTTP/1.1" 200 112486
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/moment.min.js HTTP/1.1" 200 51465
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/daterangepicker.min.js HTTP/1.1" 200 32608
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/fontawsome.js HTTP/1.1" 200 4088
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/mdtimepicker.js HTTP/1.1" 200 19827
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/theme.js HTTP/1.1" 200 7443
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/custom.js HTTP/1.1" 200 8706
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/dataTables.buttons.min.js HTTP/1.1" 200 20014
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/jquery.dataTables.min.js HTTP/1.1" 200 86549
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/jszip.min.js HTTP/1.1" 200 101939
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/vfs_fonts.js HTTP/1.1" 200 926228
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:34 +0530] "GET /corpseedhrm/staticresources/js/buttons.html5.min.js HTTP/1.1" 200 25090
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:35 +0530] "GET /corpseedhrm/staticresources/js/buttons.print.min.js HTTP/1.1" 200 2514
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:35 +0530] "GET /corpseedhrm/staticresources/js/buttons.colVis.min.js HTTP/1.1" 200 2947
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:35 +0530] "GET /corpseedhrm/staticresources/js/dataTables.select.min.js HTTP/1.1" 200 12663
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:35 +0530] "GET /corpseedhrm/staticresources/js/dataTables.responsive.min.js HTTP/1.1" 200 16849
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:35 +0530] "GET /corpseedhrm/staticresources/images/logo.png HTTP/1.1" 200 58316
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:35 +0530] "GET /corpseedhrm/staticresources/js/pdfmake.min.js HTTP/1.1" 200 1093401
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:43:43 +0530] "POST /corpseedhrm/trafficcontrol HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:47:43 +0530] "GET /corpseedhrm/login.html HTTP/1.1" 200 8731
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:47:43 +0530] "GET /corpseedhrm/staticresources/css/jquery.dataTables.css HTTP/1.1" 200 16068
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:47:43 +0530] "GET /corpseedhrm/staticresources/css/buttons.dataTables.min.css HTTP/1.1" 200 10229
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:47:43 +0530] "GET /corpseedhrm/staticresources/css/responsive.dataTables.min.css HTTP/1.1" 200 4238
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:47:43 +0530] "GET /corpseedhrm/staticresources/css/theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:47:43 +0530] "GET /corpseedhrm/staticresources/js/jquery-1.12.4.min.js HTTP/1.1" 200 150411
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:47:43 +0530] "GET /corpseedhrm/staticresources/images/logo.png HTTP/1.1" 200 58316
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:47:43 +0530] "GET /corpseedhrm/staticresources/js/bootstrap.min.js HTTP/1.1" 200 39680
0:0:0:0:0:0:0:1 - - [25/Oct/2023:14:47:43 +0530] "GET /corpseedhrm/staticresources/js/jquery.fancybox.js HTTP/1.1" 200 45961
